chars,lines
79,301493
80,299588
81,297902
82,296365
83,294603
84,292995
85,291633
86,290279
87,288921
88,286189
89,283780
90,273911
91,268736
92,267001
93,263171
94,260234
95,241936
96,233899
97,231809
98,230395
99,229153
100,228010
101,227298
102,226629
103,225998
104,225211
105,224446
106,223784
107,222941
108,222210
109,221481
110,220868
111,220324
112,219593
113,219079
114,218507
115,218097
116,217586
117,217225
118,216887
119,216593
120,216267
