chars,lines
79,219662
80,218294
81,217103
82,216010
83,214755
84,213632
85,212659
86,211712
87,210777
88,208492
89,206437
90,196941
91,192178
92,190809
93,187379
94,184720
95,166732
96,158999
97,157206
98,156075
99,155150
100,154263
101,153776
102,153361
103,152947
104,152348
105,151810
106,151385
107,150791
108,150321
109,149803
110,149353
111,149024
112,148487
113,148105
114,147741
115,147526
116,147197
117,147024
118,146815
119,146657
120,146481
